DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:78 Getting total product card count on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:83 Total product cards found: 6
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:117 Current badge count before adding: 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=1/6 | index=4 | name=Sauce Labs Fleece Jacket | price=$49.99 | desc=It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling everything from a relaxing day outdoors to a busy day at the office.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=4
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=2/6 | index=5 | name=Sauce Labs Onesie | price=$7.99 | desc=Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeved and bottom won't unravel.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=5
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=3/6 | index=3 | name=Sauce Labs Bolt T-Shirt | price=$15.99 | desc=Get your testing superhero on with the Sauce Labs bolt T-shirt. From American Apparel, 100% ringspun combed cotton, heather gray with red bolt.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=3
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=4/6 | index=1 | name=Sauce Labs Backpack | price=$29.99 | desc=carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=5/6 | index=2 | name=Sauce Labs Bike Light | price=$9.99 | desc=A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=2
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=6/6 | index=6 | name=Test.allTheThings() T-Shirt (Red) | price=$15.99 | desc=This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a few tests. Super-soft and comfy ringspun combed cotton.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=6
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:154 Badge updated correctly to 6 after adding 6 items
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 6
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=6 | actual=6
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 6
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:18 Opening cart
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:25 Cart opened and default locators visible
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:119 Getting cart items
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 1: name='Sauce Labs Fleece Jacket', desc='It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling ev', price='$49.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 2: name='Sauce Labs Onesie', desc='Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom c', price='$7.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 3: name='Sauce Labs Bolt T-Shirt', desc='Get your testing superhero on with the Sauce Labs bolt T-shirt. From American Apparel, 100% ringspun', price='$15.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 4: name='Sauce Labs Backpack', desc='carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequ', price='$29.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 5: name='Sauce Labs Bike Light', desc='A red light isn't the desired state in testing but it sure helps when riding your bike at night. Wat', price='$9.99'
