DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:87 Clearing cart before add-to-cart test
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:97 Cart cleared and back on inventory page
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:117 Current badge count before adding: 0
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=1/3 | index=4 | name=Sauce Labs Fleece Jacket | price=$49.99 | desc=It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling everything from a relaxing day outdoors to a busy day at the office.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=4
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=2/3 | index=1 | name=Sauce Labs Backpack | price=$29.99 | desc=carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=1
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:136 Adding product to cart | selection=3/3 | index=6 | name=Test.allTheThings() T-Shirt (Red) | price=$15.99 | desc=This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a few tests. Super-soft and comfy ringspun combed cotton.
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:149 Button toggled to Remove after adding | index=6
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:154 Badge updated correctly to 3 after adding 3 items
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:173 Verifying cart badge equals 3
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:191 Badge text verification | expected=3 | actual=3
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:197 Badge text matches expected count 3
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:18 Opening cart
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:25 Cart opened and default locators visible
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:119 Getting cart items
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 1: name='Sauce Labs Fleece Jacket', desc='It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling ev', price='$49.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 2: name='Sauce Labs Backpack', desc='carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequ', price='$29.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:129 Retrieved cart item 3: name='Test.allTheThings() T-Shirt (Red)', desc='This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a fe', price='$15.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:130 Retrieved 3 cart items
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:29 Validating cart items
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 1: name='Sauce Labs Fleece Jacket', desc='It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling ev', price='$49.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 2: name='Sauce Labs Backpack', desc='carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequ', price='$29.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 3: name='Test.allTheThings() T-Shirt (Red)', desc='This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a fe', price='$15.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:42 All 3 cart items validated successfully
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:45 Clicking checkout button
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:48 Navigated to checkout information page
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:51 Filling checkout information
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:55 Filled checkout info: first_name='Jane', last_name='Smith', zip_code='67890'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:56 Checkout information filled
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:59 Proceeding to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:62 Navigated to checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:65 Verifying checkout overview
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:29 Validating cart items
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 1: name='Sauce Labs Fleece Jacket', desc='It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling ev', price='$49.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 2: name='Sauce Labs Backpack', desc='carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequ', price='$29.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:41 Validated cart item 3: name='Test.allTheThings() T-Shirt (Red)', desc='This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a fe', price='$15.99'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:42 All 3 cart items validated successfully
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:70 Verified payment information: 'SauceCard #31337'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:73 Verified shipping information: 'Free Pony Express Delivery!'
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:78 Calculated totals: item_total=95.97, tax=7.68, total=103.65
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:83 All totals verified successfully
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:84 Checkout overview verified
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:87 Finishing checkout
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:92 Checkout completed successfully
INFO     automation_framework.pages.keywords.cart_and_checkout_keywords:cart_and_checkout_keywords.py:97 Navigated back to inventory from checkout complete
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
