DEBUG    automation_framework.pages.keywords.products_keywords:products_keywords.py:20 ProductsKeywords initialized
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:277 Selecting sort option: Price (high to low)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:287 Sort option Price (high to low) selected
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:292 Verifying products are sorted by price (high_low)
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:229 Collected product prices
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:295 Price sort verification | order=high_low | actual=[49.99, 29.99, 15.99, 15.99, 9.99, 7.99] | expected=[49.99, 29.99, 15.99, 15.99, 9.99, 7.99]
INFO     automation_framework.pages.keywords.products_keywords:products_keywords.py:302 Products sorted correctly by price (high_low)
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:45 Opening burger menu
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:53 Burger menu opened and overlay visible
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:87 Clicking Reset App State
INFO     automation_framework.pages.keywords.burger_menu_keywords:burger_menu_keywords.py:92 Reset App State completed and cart badge cleared/hidden
